Type_of_event,Distance,Warranty,Participants,Preference,Profession,Age,show_up_Rate
7,50,200,10000,9,4,14,55
11,20,20,10,11,3,61,100
8,0,100,50,11,4,67,75
7,1000,1,200,7,3,74,65
10,50,20,20,8,1,21,85
8,300,10000,50,7,2,73,50
10,500,50,5,7,4,44,75
8,0,10,50,10,4,6,85
11,100,10000,10000,8,3,20,50
7,50,20,1,10,4,50,90
11,1000,1000,200,11,1,17,30
10,20,50,1000,8,3,41,75
11,0,200,50,8,1,9,60
9,100,20,10000,9,1,47,70
11,1000,5,50,11,1,46,60
10,500,10,10,11,4,67,75
8,800,20,50,7,4,63,60
11,50,10000,10000,10,3,11,55
11,300,500,1000,10,4,54,40
11,1000,500,10000,9,4,34,30
11,0,100,10000,10,2,62,70
11,0,1000,20,10,2,33,70
7,10,1000,5,7,3,29,75
7,100,200,1000,8,1,31,50
7,300,10,1000,10,3,60,70
9,10,200,50,11,4,13,65
7,0,10,5,8,3,56,100
10,100,1000,200,7,4,1,50
10,800,500,1000,10,2,16,40
7,20,5,1000,9,3,76,80
11,100,50,10,9,1,11,85
10,800,100,5,9,1,56,60
11,800,10000,20,7,2,38,45
9,10,1000,10000,8,4,72,50
7,200,1,200,7,1,25,70
9,100,20,200,8,3,14,75
8,500,20,20,8,4,36,75
9,300,1,50,10,3,27,75
8,0,500,10000,8,1,78,55
9,0,1000,1000,11,4,37,50
7,1000,50,1,9,2,97,70
11,10,5,10,9,3,41,100
8,10,1000,1,11,1,9,65
9,20,200,1000,8,2,40,60
8,200,100,10,10,3,34,80
8,1000,20,20,7,4,14,70
8,1000,100,1000,8,3,20,55
10,500,5,20,10,3,36,80
9,100,100,1,7,2,26,80
8,0,200,20,10,2,76,75
10,1000,5,1000,10,3,54,60
7,20,1,20,8,4,18,90
11,100,1,50,7,3,67,85
10,500,1000,1000,7,4,24,35
9,300,1,10000,7,2,28,65
11,10,10,10,8,2,12,95
8,300,100,1000,7,1,10,50
8,0,500,50,11,3,18,65
9,20,20,50,10,1,46,80
9,0,20,200,8,2,20,80
11,10,100,5,11,3,74,95
8,1000,1,10,8,3,24,80
10,20,200,5,9,4,66,75
8,100,1000,10000,11,2,54,50
9,100,1000,10000,10,2,50,50
11,50,100,1,9,1,35,80
7,50,200,10000,7,1,30,55
8,50,1000,50,9,2,62,60
10,1000,200,200,10,1,41,40
9,200,5,1,10,1,45,85
7,800,10000,20,9,3,51,50
9,20,200,10,10,3,52,80
8,200,200,50,11,1,16,55
7,100,200,5,11,2,43,75
8,1000,1,5,7,4,58,70
10,0,200,50,11,2,97,65
8,0,200,1,10,3,40,80
10,1000,100,10,8,2,45,65
10,10,5,20,7,1,23,90
11,20,1,1000,9,2,49,75
10,800,20,1,7,1,30,70
9,100,1000,10000,9,3,32,55
8,0,200,50,7,1,47,60
7,10,1,10000,11,4,95,75
9,300,10000,200,9,2,54,45
8,200,1,1,11,3,12,90
11,500,20,10,8,3,53,80
9,20,10,1000,8,3,25,80
10,200,20,1000,10,1,6,70
8,300,1000,10,8,1,40,60
11,800,10000,1000,10,4,77,30
9,0,10,10000,7,3,10,80
10,300,1000,10000,11,4,63,40
9,300,50,5,10,3,1,85
7,1000,100,10000,10,1,97,40
11,20,1,10000,8,1,22,70
7,10,1,50,8,1,71,80
9,500,10,50,9,3,11,75
7,10,1000,10000,7,3,41,60
8,500,5,1,9,2,39,80
7,1000,200,5,10,1,58,50
10,0,5,5,9,4,0,95
7,200,10,5,8,1,17,85
8,300,1000,1000,11,1,50,35
9,20,20,1000,8,1,7,70
9,10,100,1000,11,2,78,70
9,10,50,50,9,3,45,90
10,0,20,20,11,2,49,90
8,500,1,1,10,2,30,80
11,1000,5,10,8,4,31,70
10,300,5,5,7,4,39,80
10,300,20,200,9,4,55,65
9,1000,5,5,10,4,49,70
10,20,1000,1,9,2,56,70
10,100,200,20,8,1,4,65
10,20,200,50,8,1,43,60
7,0,500,200,11,2,61,55
7,800,5,10,11,1,39,70
11,20,50,5,11,4,48,95
8,50,1,1000,9,3,41,80
7,800,10000,200,10,4,44,30
11,100,100,1,8,4,15,80
11,100,1000,5,10,1,28,60
9,0,50,10,9,4,5,95
7,50,1000,200,11,4,32,50
9,0,1,1000,7,4,41,75
11,1000,20,50,7,4,67,60
9,200,1,1,10,2,43,90
8,50,10000,5,10,1,43,65
8,1000,20,10,9,4,54,70
10,500,50,1,8,4,14,75
9,0,50,5,11,2,22,90
8,100,20,50,8,1,53,80
8,500,50,10000,9,3,30,60
9,800,100,1,8,2,49,65
9,1000,1,1000,11,4,11,55
10,20,1000,10000,10,2,12,55
7,1000,10,200,10,3,70,60
7,300,50,10000,8,2,20,60
8,20,500,10,8,2,78,75
9,0,20,200,11,2,24,80
7,100,1000,1000,9,1,62,45
9,20,20,10000,9,1,20,75
9,20,10,200,11,2,54,80
7,10,1,200,7,1,26,80
7,300,500,10000,10,1,58,40
11,1000,50,1,11,1,19,70
11,0,1,5,9,4,22,95
10,0,10000,1000,7,2,42,55
11,300,10000,200,11,3,43,50
8,500,100,200,8,2,67,55
11,20,20,20,10,2,6,90
8,10,500,10,9,3,74,75
8,50,20,10,11,1,54,90
11,0,500,1000,8,1,30,50
8,800,20,20,8,3,8,80
8,500,500,5,10,1,34,50
10,1000,10000,1000,11,1,14,25
8,10,5,10000,7,2,63,75
10,10,1000,20,8,4,33,65
7,10,10000,50,7,3,57,65
11,20,10,50,11,2,25,90
11,0,10,10000,11,3,14,85
11,1000,200,1,7,2,28,55
10,500,5,20,11,2,37,75
11,1000,10,200,8,4,50,55
7,1000,1,1,9,4,62,70
8,50,100,10,9,3,35,85
10,800,1000,1000,10,2,19,35
11,50,20,1,11,2,16,95
9,20,10,20,9,3,19,100
11,200,10,10000,9,2,66,70
10,100,1000,50,11,1,65,50
11,500,1000,10000,10,1,5,30
7,0,1000,1000,7,3,14,60
7,50,100,10,11,2,26,85
7,200,5,1000,11,3,63,75
8,20,10000,10,8,4,37,70
11,1000,200,200,8,1,55,35
10,20,100,10,11,4,34,85
11,20,100,200,7,4,53,65
7,100,200,1,9,3,40,75
9,200,500,20,8,4,50,60
9,300,20,1000,10,1,32,60
7,800,1,5,7,1,5,75
8,200,5,1000,7,3,96,75
11,50,5,1000,10,4,39,75
11,300,20,10,7,3,3,85
7,10,20,50,7,4,47,85
11,100,10,5,9,2,33,90
8,100,100,1,8,4,93,85
9,1000,1000,10,9,4,40,50
7,0,20,1,8,2,71,95
7,100,1,50,7,3,8,90
9,20,100,5,11,3,9,90
10,20,20,1000,11,1,45,70
11,500,1,50,7,3,56,70
8,20,10,10,9,2,76,95
9,10,1,10,7,4,14,95
11,800,20,200,11,1,58,55
8,20,100,1000,11,3,10,70
9,200,200,20,9,4,45,70
9,1000,1000,20,11,3,42,50
10,50,200,10,9,1,61,70
11,10,500,10,8,1,53,65
9,100,500,5,9,2,27,70
8,200,20,1000,9,2,63,70
9,300,1000,50,11,4,83,45
8,300,50,1,9,1,39,75
9,300,10,10,8,3,89,85
10,200,10000,1,9,3,7,65
9,500,10,200,9,4,3,65
8,0,1000,5,8,1,2,70
10,1000,50,10000,10,4,20,55
8,0,20,10,8,2,38,100
7,300,5,1,10,2,27,85
8,0,1,10000,7,3,67,80
10,300,10000,10,11,3,41,60
9,20,10,200,8,4,39,75
8,0,5,20,8,4,49,95
9,0,5,10,8,3,63,100
7,20,500,20,9,3,75,70
7,800,5,1000,9,3,20,60
8,0,500,20,9,3,50,70
10,300,5,10000,8,1,67,60
8,200,5,1,8,1,28,85
8,100,50,1000,11,1,30,65
11,800,50,50,8,4,83,60
9,0,20,1,8,4,28,95
8,1000,5,10000,10,4,21,55
9,500,200,10,10,1,49,55
9,50,10000,50,9,3,21,65
7,100,100,50,11,1,24,65
10,100,1,200,10,4,21,80
10,200,1,200,7,4,34,70
10,1000,10,10,7,1,30,65
11,200,500,20,10,4,6,60
10,0,20,1,9,3,69,100
7,100,1,50,7,4,30,85
8,50,200,50,9,2,16,65
8,20,5,50,11,4,70,85
10,100,200,50,9,2,20,65
11,800,200,5,7,1,18,50
10,10,20,1000,11,4,104,75
11,300,20,1,9,3,38,85
11,0,500,10,10,4,21,70
8,10,5,1000,10,1,12,75
9,50,5,1000,7,1,64,70
11,20,10000,200,11,2,58,55
7,20,50,20,10,1,14,85
7,50,10,5,11,3,83,95
10,500,500,50,10,1,26,45
9,300,20,5,7,1,53,80
8,20,10000,1000,11,2,29,50
8,200,1,10000,10,2,82,70
8,800,200,1000,7,1,11,35
7,0,1000,1,8,3,18,75
7,10,200,50,7,4,51,70
8,500,1,1,11,4,65,75
8,50,1000,200,7,1,28,50
11,20,1,50,8,4,83,85
8,100,200,1,10,3,23,75
9,500,200,1,10,4,73,60
8,50,1000,10000,8,1,19,50
7,100,10000,1,7,4,67,70
9,200,10000,200,11,1,76,40
11,800,5,10,8,1,3,70
8,100,10000,10000,11,3,3,50
9,300,100,10,8,1,20,70
7,800,10,5,10,4,22,75
9,20,50,5,9,1,40,90
11,100,200,50,11,3,42,70
11,10,200,10000,11,3,14,65
10,300,5,50,9,4,15,70
7,100,1,200,8,1,10,70
9,0,10000,200,10,1,83,50
7,300,5,1,8,1,50,80
11,100,100,50,7,1,20,65
9,300,50,1,7,3,20,85
9,100,200,200,7,2,17,55
8,300,1000,1,9,1,69,55
9,500,1000,200,7,1,90,35
7,100,1,5,11,4,13,90
10,20,50,1000,8,4,16,70
10,20,200,20,7,4,36,70
10,800,100,50,10,2,83,60
10,200,100,200,10,4,38,65
7,1000,100,200,9,2,65,45
8,100,10,10,10,4,76,90
10,800,10000,200,8,3,89,35
9,1000,10,10,11,2,50,70
11,0,500,5,9,4,65,70
7,800,50,20,10,4,18,65
9,0,10,1000,10,2,12,80
11,20,200,20,8,2,47,75
9,300,20,200,7,4,26,65
8,200,20,1,7,1,44,85
11,1000,1,50,11,2,11,65
10,100,1000,1,10,1,23,65
10,1000,100,200,10,2,9,50
9,100,1000,1000,9,1,54,50
11,800,1000,5,11,2,19,55
8,0,5,20,9,2,6,90
7,0,200,20,9,1,58,70
7,200,1,1,11,4,25,85
7,0,1000,10000,9,3,55,55
9,100,500,1000,10,1,49,45
10,200,5,1000,11,1,44,65
8,500,10,10000,8,4,8,65
8,20,1000,10,7,2,45,70
8,800,1000,1000,9,4,29,30
9,800,100,200,7,3,10,50
11,1000,10000,5,9,4,28,45
7,20,50,200,11,2,16,75
10,800,10,1000,11,2,30,55
7,50,500,10000,9,1,70,50
11,20,10000,5,10,2,57,70
9,10,1,20,7,1,72,90
9,800,1,10,8,3,8,75
8,500,500,10,8,3,93,60
11,50,1,5,10,2,38,95
11,500,100,200,8,4,40,50
10,1000,50,1000,8,3,33,55
7,20,1,1000,11,2,11,75
10,100,50,5,7,1,29,85
8,1000,100,1,10,2,42,65
11,50,1,50,8,1,2,80
11,10,1,20,7,4,76,90
9,20,1000,5,11,2,6,70
7,10,10000,20,9,2,5,65
11,50,10,1,7,3,64,95
9,300,100,5,10,4,100,70
11,300,1,20,7,4,56,80
8,500,200,10000,7,1,41,40
9,10,100,5,8,1,13,80
9,20,50,200,11,3,1,80
9,1000,50,5,9,2,54,75
7,800,10,10,8,1,61,70
11,10,500,10000,11,3,11,60
11,300,200,10,7,4,18,65
9,20,10000,50,10,1,17,55
7,100,10,1,11,1,42,85
8,10,10,1000,9,3,29,80
8,200,100,10,7,1,26,75
9,10,10000,1,7,2,3,70
8,500,200,10,11,2,25,60
8,200,1,1,11,3,43,90
9,300,5,20,7,1,21,75
10,10,50,10000,11,4,17,75
8,200,10,1000,10,2,49,70
11,500,5,10000,9,1,40,55
10,800,200,1000,8,3,4,40
8,10,50,10,11,2,29,90
10,500,100,10,9,3,42,70
8,1000,100,10000,10,2,70,45
10,200,500,10000,7,3,11,50
8,1000,500,10000,7,2,14,30
10,500,500,20,7,2,23,50
11,100,200,20,9,3,5,75
9,0,1000,20,7,2,35,70
7,10,50,20,8,3,31,90
11,800,10,20,11,1,5,70
10,1000,1,50,10,4,26,65
11,1000,500,5,11,2,35,55
11,300,5,50,11,4,43,75
10,200,10000,1,7,3,66,65
9,800,10000,5,9,2,15,55
8,800,1000,1000,7,1,14,30
10,800,1,20,7,1,65,65
9,50,1000,200,11,4,34,50
10,20,1000,10,7,1,3,65
9,300,20,10,11,2,35,80
11,50,10000,5,7,4,9,65
8,800,5,50,11,1,61,60
11,100,500,5,7,1,55,65
7,10,1000,10,8,2,61,70
10,200,10,50,10,2,15,80
9,300,10000,10,7,4,54,55
11,1000,50,20,11,2,70,70
8,20,10,1000,8,1,33,75
10,20,100,50,9,4,87,75
11,0,10000,20,8,4,16,65
8,300,100,5,9,1,0,70
8,200,1,200,9,1,5,65
7,20,10000,1000,11,1,66,45
7,0,100,1,7,1,2,85
8,50,1,10,9,3,36,95
7,300,5,200,9,4,14,65
8,200,1,1,8,4,49,90
7,0,100,1,10,2,5,85
11,10,10000,10000,8,3,22,55
9,50,1000,1,9,2,55,75
11,0,200,10,8,4,8,75
11,100,50,20,11,2,19,90
7,500,1,200,11,2,58,60
8,800,1,10,8,2,71,80
11,1000,50,5,11,1,90,70
9,50,1,200,11,3,22,80
10,200,200,5,11,3,35,70
7,50,50,1,10,4,2,90
7,10,10000,1000,7,3,20,60
11,1000,10,50,11,2,33,65
9,800,5,20,7,4,14,70
10,500,20,1000,9,1,5,55
7,800,1,20,9,1,3,65
10,100,100,10000,7,4,3,65
7,1000,20,1000,11,4,83,55
10,100,200,5,9,2,33,75
10,800,10000,10000,9,2,33,30
9,1000,50,5,11,4,14,70
7,20,200,1,7,1,18,75
8,500,1,20,10,2,11,75
9,200,100,10,11,3,86,80
10,10,100,1000,9,3,29,70
9,1000,10000,10,7,1,36,45
11,20,10,1000,7,1,66,70
7,20,20,1000,9,2,54,75
7,500,10,10000,9,1,5,55
7,50,100,5,8,4,17,80
10,1000,100,1000,11,2,63,45
8,20,10,1000,8,2,23,80
10,20,20,1,11,2,33,95
8,1000,100,50,11,4,20,50
11,10,1000,50,11,3,51,65
9,300,100,1,7,1,9,70
11,1000,50,200,8,4,41,50
7,300,50,200,11,1,50,60
9,800,1,1,11,2,66,75
10,20,100,1,8,3,2,90
7,500,10,10,8,4,67,75
10,500,5,20,7,2,32,75
8,20,200,10000,10,2,19,60
8,300,20,50,9,1,10,65
7,50,10000,5,11,3,33,70
10,100,500,10000,7,3,5,55
7,800,10,1,8,4,23,75
9,300,10000,1,9,1,26,60
8,50,1000,10000,7,4,61,50
10,0,5,10000,11,2,31,75
8,300,10,10,7,2,54,80
11,800,10000,10000,7,3,58,35
11,300,5,10,8,4,31,80
9,200,200,20,11,1,31,60
8,1000,10000,20,11,2,42,45
9,1000,1000,1000,10,1,83,25
7,50,20,20,8,2,52,90
7,200,10000,1000,7,3,55,50
11,10,100,1,7,3,29,90
8,10,20,10000,11,1,20,70
7,500,5,200,10,4,20,60
9,100,100,20,10,3,83,80
11,20,200,50,7,4,17,65
7,100,10,50,7,2,42,85
10,100,10000,5,7,3,1,70
8,800,1000,50,8,1,42,40
8,200,10000,50,10,1,58,50
7,10,10000,50,11,2,40,60
7,200,50,200,9,3,54,70
10,800,5,20,8,4,90,70
10,200,50,20,10,1,17,80
11,800,10,20,7,1,26,65
11,100,50,10,7,2,9,90
10,500,10000,10,11,1,19,50
8,10,1000,50,7,3,56,65
11,200,50,20,10,1,76,75
8,50,100,10,10,3,41,85
10,10,50,200,10,4,29,80
8,50,500,20,8,2,67,70
8,20,1,200,11,4,61,75
8,50,200,5,8,4,24,80
7,200,50,20,11,3,10,85
10,20,50,20,10,1,2,90
10,10,5,1,11,2,65,95
8,20,20,1000,11,2,55,75
11,100,10000,1000,7,2,9,50
9,100,5,20,10,4,38,85
10,100,1,5,8,2,23,90
7,800,500,5,8,3,64,55
11,500,20,200,9,1,23,55
8,500,5,20,8,3,15,80
11,100,10000,10000,9,1,2,45
8,500,1,1,8,2,30,80
10,100,200,50,11,2,32,65
10,1000,5,1,8,2,17,75
8,200,5,1000,8,3,23,75
7,10,1,50,11,4,25,85
9,300,1000,50,8,2,29,50
7,20,1,50,7,4,41,85
8,300,200,1,8,1,36,65
9,300,100,50,8,3,55,65
10,800,100,1000,11,2,46,50
7,500,100,10000,10,1,8,45
10,20,500,10000,8,3,22,55
10,800,500,10,10,4,69,55
11,500,1000,5,10,2,27,55
11,300,5,200,9,2,15,65
8,50,10,1,8,4,35,95
9,200,1000,20,9,1,20,60
8,10,200,10,11,3,84,80
8,50,1,10000,10,1,9,70
7,800,10,20,10,3,58,75
9,20,1000,5,10,1,28,65
8,0,10,1,10,1,114,90
8,10,20,1000,8,3,42,85
9,10,1,50,11,1,47,80
7,50,1000,50,8,4,74,55
9,50,200,10,8,4,67,75
7,1000,10000,50,10,3,22,40
11,20,500,10000,11,3,16,60
8,0,200,50,7,4,84,65
8,200,10000,200,11,1,52,40
11,300,200,200,8,1,31,45
10,100,200,10,11,3,5,75
11,1000,1,10000,11,2,14,60
10,100,500,10,8,4,33,65
11,100,200,10,9,1,25,70
9,50,5,50,7,4,34,80
7,100,10,10,8,4,78,90
8,500,1,50,7,3,42,70
11,100,10,200,11,1,53,75
10,50,10,10,11,1,52,90
9,300,1000,1,11,3,4,60
7,200,500,10,10,4,72,65
11,50,100,200,10,1,10,65
9,300,50,5,11,2,38,80
7,10,1000,10000,10,3,19,55
8,10,5,10000,9,3,14,80
10,500,10000,5,10,2,20,55
7,0,500,50,11,3,26,65
8,50,1,50,8,1,40,80
8,10,5,200,7,1,54,75
7,1000,1000,10,10,1,22,45
9,50,50,1,8,4,114,90
8,300,500,1000,10,4,14,40
8,20,10,10,8,1,70,95
7,100,500,20,10,2,78,65
10,20,100,10000,7,3,95,70
11,0,20,10,10,3,47,95
9,300,10,20,11,3,40,85
11,200,5,5,8,1,51,85
8,50,1000,1,9,4,23,65
11,50,5,1,10,4,10,90
7,50,10,200,7,1,47,75
11,200,1,200,7,4,20,70
10,0,50,200,10,2,17,80
8,10,1,20,7,3,2,95
10,800,50,200,9,4,9,55
9,800,100,200,11,2,42,50
10,300,20,10,7,1,23,75
7,1000,5,50,8,3,3,65
9,20,1,200,7,3,22,80
8,50,10000,20,9,4,4,65
9,100,10000,50,11,3,26,60
9,200,1000,50,9,3,44,60
9,50,10000,200,8,4,61,50
8,300,100,10,11,2,66,75
8,10,10,10000,7,2,47,75
7,100,50,10000,7,1,45,70
10,10,20,50,10,2,36,90
8,20,1000,20,8,2,21,70
8,200,1000,50,8,1,4,50
7,0,5,5,11,3,7,100
7,300,200,10000,7,1,24,45
7,0,10000,20,10,2,70,70
10,1000,100,5,10,4,14,65
10,20,1000,5,11,4,15,70
9,100,20,200,7,3,4,75
9,50,500,10000,10,1,26,50
10,1000,10,10,10,2,10,75
7,800,10000,1,11,3,66,55
7,200,20,10000,10,4,58,70
10,20,5,200,8,2,65,80
9,10,20,10000,8,1,27,70
8,200,50,10000,9,2,14,65
8,500,10000,200,7,3,54,40
11,100,500,10000,11,2,8,55
7,1000,100,10,7,4,47,65
11,50,200,50,11,2,33,70
10,800,200,10,10,4,33,60
7,10,100,5,9,3,29,90
8,50,50,10000,9,2,18,75
10,20,500,1000,9,3,28,55
9,800,10,1000,8,4,49,55
11,10,1,200,7,3,31,80
10,1000,5,50,10,2,67,65
11,1000,20,10,7,2,49,70
10,50,10,1000,8,1,16,70
8,50,5,5,8,2,11,95
7,20,10000,1,8,3,20,75
8,500,1,10000,8,4,28,65
8,300,500,20,8,2,35,60
8,10,10,50,10,3,30,85
11,200,5,5,10,1,77,85
11,200,200,1,10,3,72,70
9,50,10000,1,7,4,16,65
9,100,5,5,10,2,12,90
11,10,10,10,8,4,14,95
10,0,50,200,9,3,5,80
10,200,5,1,11,3,23,90
11,1000,10,20,10,1,11,65
11,1000,500,10000,7,3,41,35
9,300,500,10,7,4,58,60
11,10,200,1000,7,1,48,55
7,500,1000,20,7,3,35,60
10,0,1,10,11,1,3,90
9,800,1000,50,7,1,37,35
7,20,100,200,10,3,72,70
8,300,10,50,8,2,48,75
11,10,20,50,8,2,52,85
8,300,1000,1000,7,3,3,45
7,800,1,200,11,4,35,55
10,100,1,5,9,3,68,95
9,0,1000,1000,9,1,3,55
8,200,200,200,8,2,66,55
7,300,5,1,10,1,4,80
11,1000,1000,1000,8,4,32,30
11,800,200,20,7,3,15,55
11,0,1,1000,11,1,61,75
10,0,50,1,10,1,64,90
8,500,10,50,7,1,33,65
11,200,1,10,7,3,41,90
10,100,5,10000,8,2,80,75
11,1000,10000,10,11,1,37,45
9,800,1,20,7,1,25,65
10,1000,500,10,11,4,17,50
10,50,10,1,9,2,69,95
8,800,20,1000,11,2,12,55
11,500,1,20,7,3,20,80
7,200,500,10000,7,2,53,50
10,20,1,1,10,4,44,95
9,500,100,50,7,3,67,60
8,800,1,1000,9,3,11,60
11,100,10,200,9,4,35,75
10,0,20,1,11,3,45,100
9,1000,50,5,8,1,22,65
10,500,20,200,7,1,12,55
8,10,10000,200,11,4,1,50
7,10,200,1,9,3,20,80
7,200,500,200,8,1,40,45
11,1000,1,10,9,2,23,70
10,1000,20,5,8,2,52,70
8,500,10,5,7,4,53,75
8,10,50,200,11,3,32,80
9,200,50,1,9,1,61,85
9,0,5,20,11,2,9,90
7,200,10,5,11,1,27,85
9,300,10000,20,11,1,43,50
10,50,1,50,8,3,6,85
7,1000,1000,10,10,3,48,50
9,200,1,10000,8,2,39,70
8,800,100,1000,7,3,0,50
9,200,100,1000,9,4,30,65
11,0,1,10,9,3,4,100
10,500,10000,10,7,2,2,55
11,300,500,10,11,1,58,60
7,20,20,200,10,4,58,75
11,10,10,10,10,3,7,95
11,0,200,1,8,2,62,75
11,0,10000,50,10,2,26,60
8,1000,10000,10000,10,2,22,30
11,300,10,5,10,1,9,80
10,300,5,50,10,3,4,80
8,100,1,50,9,4,84,80
8,500,50,200,7,4,83,55
9,300,1,1,7,4,54,80
9,10,500,200,7,2,3,55
7,20,100,200,7,2,93,75
9,50,50,1,8,4,24,90
8,10,5,1000,11,3,23,80
11,500,20,1,11,4,65,80
11,20,1000,1000,10,4,32,50
9,1000,1,50,11,1,8,60
8,800,1,50,10,2,20,65
8,800,20,1,8,4,36,75
11,10,1,10000,8,2,40,75
9,10,1,5,9,4,53,95
7,800,1,200,7,4,81,60
10,10,10,10,10,2,35,100
11,300,20,20,10,3,3,80
11,500,200,50,9,1,73,45
8,50,20,20,11,3,11,95
8,0,50,10000,7,3,23,75
10,20,500,1000,10,4,42,55
10,500,50,50,7,1,93,60
9,1000,10,5,7,4,7,70
11,0,50,50,8,3,11,85
7,0,1,10000,11,4,0,75
10,800,200,1000,11,4,81,35
10,0,1000,5,10,2,13,75
7,50,50,20,11,3,41,90
9,50,1000,5,10,1,1,65
9,800,500,5,10,2,2,50
11,500,10,20,9,3,5,80
7,500,1000,1000,10,3,20,40
9,300,1,1000,10,2,2,65
11,20,50,50,7,1,46,75
10,100,1000,20,10,3,63,70
7,500,5,10000,10,1,27,55
11,1000,20,5,7,2,53,70
9,300,20,1,8,1,49,80
11,10,1,20,7,4,61,90
9,1000,5,20,11,4,22,70
9,1000,1000,200,8,2,43,30
8,10,500,10,11,1,41,65
11,500,10,50,11,3,5,75
8,300,1000,10000,11,1,84,35
8,500,500,20,8,3,39,60
7,800,1000,200,9,2,4,35
11,10,500,5,8,1,79,65
9,100,200,10,10,2,9,75
11,10,10000,10000,9,2,34,50
10,1000,1,10000,7,4,12,55
10,500,50,200,9,3,47,60
9,1000,100,10000,11,2,1,45
10,100,1,1000,7,4,20,70
11,1000,50,50,7,4,73,60
10,800,10000,200,8,3,38,35
7,50,20,1,9,4,83,90
8,800,100,200,8,3,6,55
10,500,500,10,7,2,53,55
11,500,20,10000,11,1,90,60
11,300,100,10000,10,2,48,55
10,800,1,1,8,2,69,75
10,1000,10,1,10,3,51,80
9,300,50,20,9,3,53,85
11,10,100,5,9,1,15,80
11,10,1,1,7,3,26,100
11,20,1,10000,11,4,37,80
10,20,1000,10000,10,2,20,55
9,300,10,1,7,1,29,80
9,800,500,50,10,3,19,45
7,200,10,5,7,3,20,95
7,20,100,10000,8,4,64,65
7,800,100,10000,9,1,4,45
8,20,20,1,9,3,6,95
9,20,10000,50,9,1,40,60
7,1000,500,1,9,1,61,45
10,0,100,1,11,1,53,80
11,10,10,50,10,4,32,85
7,100,1,200,10,2,24,75
7,800,20,50,8,4,13,60
10,200,200,20,7,2,55,65
11,10,100,10000,9,1,37,65
11,1000,10,10000,9,4,25,55
11,800,20,10,11,2,73,80
7,0,1,10000,11,1,20,75
10,500,200,20,8,2,17,55
11,500,5,10,8,1,36,75
7,20,1000,10000,7,3,5,60
9,0,100,1000,7,1,10,65
10,100,5,10000,7,3,72,75
8,200,1000,1,11,2,44,65
11,100,5,10000,10,2,30,75
8,10,5,1,11,2,53,95
10,800,200,5,10,4,39,60
11,500,10000,10,7,4,86,50
11,300,100,10000,7,3,13,60
7,1000,1,10000,11,1,3,50
11,200,10000,5,8,2,58,65
9,500,50,200,10,1,56,55
9,500,10,50,10,3,32,70
8,50,200,1,9,3,55,80
8,1000,100,10000,11,1,15,40
11,20,200,200,7,3,66,65
11,1000,1,20,11,1,28,70
11,500,10000,10000,8,3,18,40
10,100,5,20,9,2,55,90
9,100,500,5,11,3,9,70
9,300,500,1,9,2,15,65
8,800,1000,5,11,3,26,55
10,100,1000,50,9,4,1,55
7,50,1000,10,9,4,67,65
10,500,100,10,7,3,3,70
11,100,10000,20,9,2,32,65
9,100,50,1000,8,2,34,70
9,50,5,200,8,4,31,75
9,100,50,200,9,2,38,75
9,10,100,200,9,1,42,70
10,20,100,5,11,3,56,90
7,20,20,200,8,2,49,80
8,20,200,1000,10,1,14,55
10,20,10000,20,8,4,77,65
8,100,5,5,9,2,24,90
7,0,10000,50,7,4,36,60
10,1000,500,10,9,1,48,45
8,20,50,10,7,3,27,95
11,800,10000,5,8,3,25,55
7,0,200,10,7,1,27,75
11,300,1000,50,10,4,48,45
8,0,500,1,7,1,33,70
8,500,50,5,8,1,9,75
11,300,500,10,11,4,38,60
8,300,500,10000,9,2,33,40
7,1000,1000,10,7,3,30,55
11,50,200,1,10,2,38,75
11,0,500,5,7,3,64,75
8,0,1000,20,10,2,59,70
8,300,10000,200,11,3,44,45
10,800,10,10,8,2,73,75
9,500,1,1,9,2,47,80
11,50,100,50,7,3,29,75
7,200,5,20,7,3,66,90
7,10,100,50,8,1,24,70
11,20,500,1000,7,2,57,55
9,800,10000,200,10,4,90,30
9,200,1000,10000,8,1,43,40
8,1000,5,200,10,4,30,55
11,1000,10,10,10,2,45,70
10,1000,200,1000,9,1,11,30
10,0,50,10,7,3,65,95
10,20,200,50,7,1,0,60
9,200,10,10000,10,1,15,65
10,200,50,10,10,2,22,90
8,300,20,1000,8,3,22,70
7,10,5,1000,10,2,49,75
9,800,5,10,10,2,51,75
9,800,200,1000,8,2,63,40
8,100,200,20,8,1,62,70
10,0,50,200,7,1,48,70
9,1000,10,10000,11,1,28,50
11,300,50,1,11,1,38,80
9,100,1,200,11,2,32,75
11,100,10,10000,7,2,8,75
7,20,50,5,8,4,73,90
9,20,20,1,10,3,72,95
10,800,10000,50,7,1,39,35
10,200,20,10000,9,2,18,70
11,20,500,10,7,2,95,70
10,0,1000,5,8,1,18,65
10,800,1000,20,9,2,72,45
8,10,500,20,10,1,50,65
8,200,10000,5,9,2,45,65
8,300,1,1000,11,2,16,65
11,200,500,200,7,1,14,45
11,300,200,50,11,1,48,55
9,100,100,50,10,1,65,65
11,100,100,1,9,1,50,75
10,800,10,10000,9,4,44,55
9,10,500,5,7,2,61,70
9,300,200,5,7,1,26,60
11,200,5,50,8,1,10,75
10,200,100,1,8,1,31,75
